Hourly measurement data supplied by UK-air on 16/01/2026,,,,,,,
All Data GMT hour ending,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,
Site Name,,Sheffield Barnsley Road,,Sheffield Devonshire Green,,Sheffield Tinsley,
Latitude,,53.40495,,53.378622,,53.41058,
Longitude,,-1.455815,,-1.478096,,-1.396139,
Site Type,,Urban Traffic,,Urban Background,,Urban Background,
Zone,,Yorkshire & Humberside,,Yorkshire & Humberside,,Yorkshire & Humberside,
Agglomeration,,Sheffield Urban Area,,Sheffield Urban Area,,Sheffield Urban Area,
Local Authority,,Sheffield,,Sheffield,,Sheffield,
Date,Time,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status
01/01/2022,01:00:00,21.8079,V ugm-3,12.97158,V ugm-3,7.16551,V ugm-3
01/01/2022,02:00:00,10.55764,V ugm-3,8.69247,V ugm-3,6.11186,V ugm-3
01/01/2022,03:00:00,15.80181,V ugm-3,12.51541,V ugm-3,4.63655,V ugm-3
01/01/2022,04:00:00,9.8716,V ugm-3,10.07262,V ugm-3,4.3729,V ugm-3
01/01/2022,05:00:00,9.42492,V ugm-3,7.95588,V ugm-3,4.32022,V ugm-3
01/01/2022,06:00:00,7.78269,V ugm-3,5.50969,V ugm-3,3.05591,V ugm-3
01/01/2022,07:00:00,8.32691,V ugm-3,4.21573,V ugm-3,3.37204,V ugm-3
01/01/2022,08:00:00,9.07371,V ugm-3,4.31016,V ugm-3,3.74098,V ugm-3
01/01/2022,09:00:00,12.51941,V ugm-3,4.21474,V ugm-3,3.89889,V ugm-3
01/01/2022,10:00:00,16.58501,V ugm-3,4.5503,V ugm-3,5.58523,V ugm-3
01/01/2022,11:00:00,17.18973,V ugm-3,4.55101,V ugm-3,8.32564,V ugm-3
01/01/2022,12:00:00,14.49834,V ugm-3,4.98256,V ugm-3,10.4337,V ugm-3
01/01/2022,13:00:00,13.50169,V ugm-3,5.74911,V ugm-3,10.75046,V ugm-3
01/01/2022,14:00:00,15.84842,V ugm-3,5.98981,V ugm-3,11.32993,V ugm-3
01/01/2022,15:00:00,15.7172,V ugm-3,5.84667,V ugm-3,11.2243,V ugm-3
01/01/2022,16:00:00,18.43893,V ugm-3,6.42009,V ugm-3,12.06715,V ugm-3
01/01/2022,17:00:00,18.92504,V ugm-3,6.46795,V ugm-3,12.64613,V ugm-3
01/01/2022,18:00:00,17.98363,V ugm-3,5.5574,V ugm-3,15.38477,V ugm-3
01/01/2022,19:00:00,25.25212,V ugm-3,5.27027,V ugm-3,7.37596,V ugm-3
01/01/2022,20:00:00,25.05416,V ugm-3,5.65397,V ugm-3,6.42758,V ugm-3
01/01/2022,21:00:00,32.523,V ugm-3,6.5168,V ugm-3,7.42884,V ugm-3
01/01/2022,22:00:00,33.27763,V ugm-3,6.4678,V ugm-3,7.21781,V ugm-3
01/01/2022,23:00:00,27.26009,V ugm-3,5.41327,V ugm-3,5.95337,V ugm-3
01/01/2022,24:00:00,11.92012,V ugm-3,3.45004,V ugm-3,4.68909,V ugm-3
02/01/2022,01:00:00,6.73363,V ugm-3,2.49136,V ugm-3,3.58168,V ugm-3
02/01/2022,02:00:00,7.39462,V ugm-3,3.95819,V ugm-3,3.51146,V ugm-3
02/01/2022,03:00:00,5.15451,V ugm-3,4.30792,V ugm-3,3.31824,V ugm-3
02/01/2022,04:00:00,6.35662,V ugm-3,4.3559,V ugm-3,3.9503,V ugm-3
02/01/2022,05:00:00,7.70278,V ugm-3,3.68552,V ugm-3,4.10845,V ugm-3
02/01/2022,06:00:00,6.60177,V ugm-3,2.24984,V ugm-3,5.84641,V ugm-3
02/01/2022,07:00:00,23.4205,V ugm-3,3.58912,V ugm-3,7.6375,V ugm-3
02/01/2022,08:00:00,43.3836,V ugm-3,4.97594,V ugm-3,15.01119,V ugm-3
02/01/2022,09:00:00,34.20745,V ugm-3,5.16741,V ugm-3,14.90568,V ugm-3
02/01/2022,10:00:00,38.42698,V ugm-3,2.77673,V ugm-3,7.42744,V ugm-3
02/01/2022,11:00:00,15.96231,V ugm-3,3.73483,V ugm-3,14.64363,V ugm-3
02/01/2022,12:00:00,17.72392,V ugm-3,4.40639,V ugm-3,12.32669,V ugm-3
02/01/2022,13:00:00,21.36909,V ugm-3,5.60394,V ugm-3,14.01183,V ugm-3
02/01/2022,14:00:00,17.87753,V ugm-3,6.03354,V ugm-3,17.85738,V ugm-3
02/01/2022,15:00:00,24.92496,V ugm-3,7.23153,V ugm-3,20.59707,V ugm-3
02/01/2022,16:00:00,37.2273,V ugm-3,8.85662,V ugm-3,22.28239,V ugm-3
02/01/2022,17:00:00,47.40823,V ugm-3,8.66544,V ugm-3,28.07663,V ugm-3
02/01/2022,18:00:00,36.77958,V ugm-3,8.66529,V ugm-3,24.86176,V ugm-3
02/01/2022,19:00:00,45.26135,V ugm-3,11.44128,V ugm-3,18.699,V ugm-3
02/01/2022,20:00:00,42.53317,V ugm-3,10.91351,V ugm-3,13.95835,V ugm-3
02/01/2022,21:00:00,19.52774,V ugm-3,3.97502,V ugm-3,13.32622,V ugm-3
02/01/2022,22:00:00,23.27476,V ugm-3,5.26676,V ugm-3,10.58703,V ugm-3
02/01/2022,23:00:00,18.07467,V ugm-3,4.64451,V ugm-3,11.42977,V ugm-3
02/01/2022,24:00:00,18.67563,V ugm-3,3.78355,V ugm-3,11.2191,V ugm-3
03/01/2022,01:00:00,10.21344,V ugm-3,2.68024,V ugm-3,8.35462,V ugm-3
03/01/2022,02:00:00,6.53639,V ugm-3,4.65645,V ugm-3,7.863,V ugm-3
03/01/2022,03:00:00,4.65886,V ugm-3,2.15344,V ugm-3,6.10791,V ugm-3
03/01/2022,04:00:00,4.46196,V ugm-3,2.05768,V ugm-3,4.84433,V ugm-3
03/01/2022,05:00:00,5.41433,V ugm-3,1.00547,V ugm-3,2.89626,V ugm-3
03/01/2022,06:00:00,8.01853,V ugm-3,1.48354,V ugm-3,5.42391,V ugm-3
03/01/2022,07:00:00,10.62144,V ugm-3,3.58703,V ugm-3,9.89981,V ugm-3
03/01/2022,08:00:00,11.96523,V ugm-3,3.54045,V ugm-3,9.37319,V ugm-3
03/01/2022,09:00:00,9.51226,V ugm-3,4.78281,V ugm-3,13.53287,V ugm-3
03/01/2022,10:00:00,14.81975,V ugm-3,3.77964,V ugm-3,15.37637,V ugm-3
03/01/2022,11:00:00,14.30083,V ugm-3,4.35408,V ugm-3,10.79557,V ugm-3
03/01/2022,12:00:00,14.10716,V ugm-3,4.5951,V ugm-3,13.27094,V ugm-3
03/01/2022,13:00:00,16.64825,V ugm-3,3.63959,V ugm-3,13.85064,V ugm-3
03/01/2022,14:00:00,18.64928,V ugm-3,4.88378,V ugm-3,16.53645,V ugm-3
03/01/2022,15:00:00,25.49596,V ugm-3,6.79835,V ugm-3,20.85457,V ugm-3
03/01/2022,16:00:00,35.99233,V ugm-3,9.90578,V ugm-3,33.80879,V ugm-3
03/01/2022,17:00:00,50.88335,V ugm-3,17.41755,V ugm-3,38.33769,V ugm-3
03/01/2022,18:00:00,46.14605,V ugm-3,10.71941,V ugm-3,35.59833,V ugm-3
03/01/2022,19:00:00,40.5166,V ugm-3,15.78691,V ugm-3,44.02375,V ugm-3
03/01/2022,20:00:00,32.10587,V ugm-3,12.43871,V ugm-3,27.06566,V ugm-3
03/01/2022,21:00:00,51.84571,V ugm-3,No data,V ugm-3,19.85075,V ugm-3
03/01/2022,22:00:00,55.40323,V ugm-3,19.39846,V ugm-3,17.0604,V ugm-3
03/01/2022,23:00:00,70.02643,V ugm-3,22.05847,V ugm-3,22.37837,V ugm-3
